,Time Candle,Duration,Momentum Margin,Momentum Volume,Desired Profit,Stop Loss,Units,Open-close Difference,Total Profit
0,9:00,5,0,3,5,2.5,1,3,-68
0,9:00,5,0,3,5,2.5,1,5,-65
0,9:00,5,0,3,5,2.5,1,10,-49
0,9:00,5,0,3,5,5,1,3,-81
0,9:00,5,0,3,5,5,1,5,-76
0,9:00,5,0,3,5,5,1,10,-64
0,9:00,5,0,3,10,5,1,3,-70
0,9:00,5,0,3,10,5,1,5,-65
0,9:00,5,0,3,10,5,1,10,-58
0,9:00,5,0,3,10,10,1,3,-46
0,9:00,5,0,3,10,10,1,5,-35
0,9:00,5,0,3,10,10,1,10,-36
0,9:00,5,0,3,15,7.5,1,3,-69
0,9:00,5,0,3,15,7.5,1,5,-61
0,9:00,5,0,3,15,7.5,1,10,-53
0,9:00,5,0,3,15,15,1,3,-109
0,9:00,5,0,3,15,15,1,5,-94
0,9:00,5,0,3,15,15,1,10,-93
0,9:00,5,0,3,20,10,1,3,-102
0,9:00,5,0,3,20,10,1,5,-91
0,9:00,5,0,3,20,10,1,10,-80
0,9:00,5,0,3,20,20,1,3,-108
0,9:00,5,0,3,20,20,1,5,-87
0,9:00,5,0,3,20,20,1,10,-84
0,9:00,5,0,3,25,12.5,1,3,-89
0,9:00,5,0,3,25,12.5,1,5,-75
0,9:00,5,0,3,25,12.5,1,10,-65
0,9:00,5,0,3,25,25,1,3,-172
0,9:00,5,0,3,25,25,1,5,-146
0,9:00,5,0,3,25,25,1,10,-146
0,9:00,5,0,5,5,2.5,1,3,-71
0,9:00,5,0,5,5,2.5,1,5,-68
0,9:00,5,0,5,5,2.5,1,10,-52
0,9:00,5,0,5,5,5,1,3,-59
0,9:00,5,0,5,5,5,1,5,-54
0,9:00,5,0,5,5,5,1,10,-41
0,9:00,5,0,5,10,5,1,3,-42
0,9:00,5,0,5,10,5,1,5,-37
0,9:00,5,0,5,10,5,1,10,-29
0,9:00,5,0,5,10,10,1,3,7
0,9:00,5,0,5,10,10,1,5,19
0,9:00,5,0,5,10,10,1,10,17
0,9:00,5,0,5,15,7.5,1,3,-30
0,9:00,5,0,5,15,7.5,1,5,-21
0,9:00,5,0,5,15,7.5,1,10,-13
0,9:00,5,0,5,15,15,1,3,9
0,9:00,5,0,5,15,15,1,5,24
0,9:00,5,0,5,15,15,1,10,25
0,9:00,5,0,5,20,10,1,3,-76
0,9:00,5,0,5,20,10,1,5,-64
0,9:00,5,0,5,20,10,1,10,-54
0,9:00,5,0,5,20,20,1,3,-24
0,9:00,5,0,5,20,20,1,5,-4
0,9:00,5,0,5,20,20,1,10,-2
0,9:00,5,0,5,25,12.5,1,3,-52
0,9:00,5,0,5,25,12.5,1,5,-37
0,9:00,5,0,5,25,12.5,1,10,-27
0,9:00,5,0,5,25,25,1,3,-76
0,9:00,5,0,5,25,25,1,5,-49
0,9:00,5,0,5,25,25,1,10,-44
0,9:00,5,3,3,5,2.5,1,3,-79
0,9:00,5,3,3,5,2.5,1,5,-76
0,9:00,5,3,3,5,2.5,1,10,-57
0,9:00,5,3,3,5,5,1,3,-84
0,9:00,5,3,3,5,5,1,5,-79
0,9:00,5,3,3,5,5,1,10,-57
0,9:00,5,3,3,10,5,1,3,-84
0,9:00,5,3,3,10,5,1,5,-79
0,9:00,5,3,3,10,5,1,10,-57
